objectid,filename,title,format,description,creator,date,editor,illustrator,publisher,location,isbn,reading-level,age-range,grade-level,subject
coll001,the-jumbies.jpg,The Jumbies,image/jpeg,"Corinne La Mer claims she isn’t afraid of anything. Not scorpions, not the boys who tease her, and certainly not jumbies. They’re just tricksters made up by parents to frighten their children. Then one night Corinne chases an agouti all the way into the forbidden forest, and shining yellow eyes follow her to the edge of the trees. They couldn’t belong to a jumbie. Or could they?<br>When Corinne spots a beautiful stranger at the market the very next day, she knows something extraordinary is about to happen. When this same beauty, called Severine, turns up at Corinne’s house, danger is in the air. Severine plans to claim the entire island for the jumbies. Corinne must call on her courage and her friends and learn to use ancient magic she didn’t know she possessed to stop Severine and to save her island home.",Tracey Baptiste,"April 26, 2016",,,Algonquin Young Readers,Caribbean; Trinidad & Tobago,978-1616205928,680L,9 - 12,4 - 7,Courage; Friendship
coll002,where-the-mountain-meets-the-moon.jpg,Where the Mountain Meets the Moon,image/jpeg,"In the valley of Fruitless mountain, a young girl named Minli lives in a ramshackle hut with her parents. In the evenings, her father regales her with old folktales of the Jade Dragon and the Old Man of the Moon, who knows the answers to all of life’s questions. Inspired by these stories, Minli sets off on an extraordinary journey to find the Old Man of the Moon to ask him how she can change her family’s fortune. She encounters an assorted cast of characters and magical creatures along the way, including a dragon who accompanies her on her quest for the ultimate answer.",Grace Lin,"July 1, 2019",,,"Little, Brown Books for Young Readers",Asia; China,978-0316038638,810L,8- 12,3 - 6,Faith; Friendship
coll003,Hansel-and-Gretel.jpg,Hansel & Gretel,,"""If this isn't the definitive edition of Hansel and Gretel, it's absolutely necessary.""—Kirkus Reviews, starred review<br>Best-selling author Neil Gaiman and fine artist Lorenzo Mattotti join forces to create Hansel & Gretel, a stunning book that's at once as familiar as a dream and as evocative as a nightmare. Mattotti's sweeping ink illustrations capture the terror and longing found in the classic Brothers Grimm fairy tale. Gaiman crafts an original text filled with his signature wit and pathos that is sure to become a favorite of readers everywhere, young and old.",Neil Gaiman,"October 28, 2014",,Lorenzo Mattotti ,TOON Books,"Europe
Germany","978-1935179627",820L,7 - 10,2 - 5,"Greed
Family
Temptation"
coll004,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,
coll006,,Baba Yaga's Assistant,,,Marika McCoola,"August 4, 2015",,Emily Carroll,Candlewick,"Europe
Russia",978-0763669614,GN340,9-12,5-6,
coll007,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,
